timestamp,reference,reconstructed,raw
14.09,65.823556,65.81992075522243,6582
14.1,65.871383,65.86992069973445,6587
14.11,65.919183,65.91992064424645,6592
14.12,65.966958,65.96992058875847,6597
14.13,66.014706,66.00992054436807,6601
14.14,66.062428,66.0599204888801,6606
14.15,66.110124,66.10992043339212,6611
14.16,66.157793,66.15992037790411,6616
14.17,66.205436,66.20992032241614,6621
14.18,66.253053,66.24992027802574,6625
14.19,66.300643,66.29992022253776,6630
14.2,66.348208,66.34992016704976,6635
14.21,66.395746,66.39992011156178,6640
14.22,66.443257,66.43992006717139,6644
14.23,66.490743,66.48992001168341,6649
14.24,66.538202,66.53991995619543,6654
14.25,66.585635,66.58991990070743,6659
14.26,66.633041,66.62991985631706,6663
14.27,66.680421,66.67991980082905,6668
14.28,66.727775,66.72991974534108,6673
14.29,66.775103,66.7799196898531,6678
14.3,66.822404,66.8199196454627,6682
14.31,66.869679,66.86991958997473,6687
14.32,66.916927,66.91991953448672,6692
14.33,66.964149,66.95991949009635,6696
14.34,67.011345,67.00991943460835,6701
14.35,67.058515,67.05991937912037,6706
14.36,67.105658,67.1099193236324,6711
14.37,67.152775,67.149919279242,6715
14.38,67.199865,67.19991922375402,6720
14.39,67.246929,67.24991916826602,6725
14.4,67.293967,67.28991912387565,6729
14.41,67.340978,67.33991906838764,6734
14.42,67.387963,67.38991901289967,6739
14.43,67.434922,67.42991896850927,6743
14.44,67.481854,67.4799189130213,6748
14.45,67.52876,67.52991885753332,6753
14.46,67.575639,67.57991880204531,6758
14.47,67.622492,67.61991875765494,6762
14.48,67.669319,67.66991870216694,6767
14.49,67.716119,67.71991864667896,6772
14.5,67.762893,67.75991860228856,6776
14.51,67.809641,67.80991854680059,6781
14.52,67.856362,67.85991849131261,6786
14.53,67.903056,67.89991844692221,6790
14.54,67.949725,67.94991839143424,6795
14.55,67.996366,67.99991833594623,6800
14.56,68.042982,68.03991829155586,6804
14.57,68.089571,68.08991823606786,6809
14.58,68.136133,68.13991818057988,6814
14.59,68.182669,68.17991813618949,6818
14.6,68.229179,68.22991808070151,6823
14.61,68.275662,68.27991802521353,6828
14.62,68.322119,68.31991798082313,6832
14.63,68.368549,68.36991792533516,6837
14.64,68.414953,68.40991788094476,6841
14.65,68.461331,68.45991782545678,6846
14.66,68.507682,68.50991776996878,6851
14.67,68.554006,68.54991772557838,6855
14.68,68.600305,68.5999176700904,6860
14.69,68.646576,68.64991761460243,6865
14.7,68.692821,68.68991757021203,6869
14.71,68.73904,68.73991751472406,6874
14.72,68.785232,68.78991745923605,6879
14.73,68.831398,68.82991741484568,6883
14.74,68.877538,68.87991735935768,6888
14.75,68.92365,68.91991731496731,6892
14.76,68.969737,68.9699172594793,6897
14.77,69.015797,69.01991720399133,6902
14.78,69.06183,69.05991715960093,6906
14.79,69.107837,69.10991710411295,6911
14.8,69.153818,69.14991705972255,6915
14.81,69.199771,69.19991700423458,6920
14.82,69.245699,69.2499169487466,6925
14.83,69.2916,69.2899169043562,6929
14.84,69.337474,69.33991684886823,6934
14.85,69.383322,69.37991680447783,6938
14.86,69.429144,69.42991674898985,6943
14.87,69.474939,69.46991670459946,6947
14.88,69.520707,69.51991664911148,6952
14.89,69.566449,69.56991659362347,6957
14.9,69.612165,69.6099165492331,6961
14.91,69.657854,69.6599164937451,6966
14.92,69.703516,69.69991644935473,6970
14.93,69.749152,69.74991639386673,6975
14.94,69.794761,69.78991634947636,6979
14.95,69.840344,69.83991629398835,6984
14.96,69.885901,69.88991623850038,6989
14.97,69.93143,69.92991619410998,6993
14.98,69.976934,69.979916138622,6998
14.99,70.022411,70.0199160942316,7002
15.0,70.067861,70.06991603874363,7007
15.01,70.043085,70.03991607203642,7004
15.02,70.018323,70.0199160942316,7002
15.03,69.993575,69.9899161275244,6999
15.04,69.968842,69.96991614971961,6997
15.05,69.944124,69.9399161830124,6994
15.06,69.91942,69.91991620520758,6992
